Contractor_Attributes.C_PDS_SubzoneCode,Contractor_Attributes.C_PDS_Subdiscipline,IFC Type.IfcName [Type]
_NotFound
,_NotFound
,,Basic Wall:RC 300 SW CRADLE_HYD
,,Basic Wall:RC 250 UPSTAND WALLS
,,Basic Wall:RC 200 UPSTAND WALLS
,,Basic Wall:RC 250 DOWNTURN BEAM
,3_300
,,HYD_ConcreteBeam:250D x 2000W
,,HYD_ConcreteBeam:300D MIN. x 2000W
,,HYD_ConcreteBeam:300D x 1280W
,,HYD_ConcreteBeam:300D x 1800W
,,HYD_ConcreteBeam:300D x 2000W
,,HYD_ConcreteBeam:300D x 2400W
,,HYD_ConcreteBeam:300D x 900W
,,HYD_ConcreteBeam:350D MIN x 2000W
,,HYD_ConcreteBeam:350D x 1475W R.C.
,,HYD_ConcreteBeam:350D x 2000W
,,HYD_ConcreteBeam:400D x 1800W
,,HYD_ConcreteBeam:400D x 2000W
,,HYD_ConcRectangColumn:300x600
,,HYD_ConcRectangColumn:400x400
,,HYD_ConcreteBeam:350D x 2000W R.C.
,,HYD_ConcreteBeam:250D x 1000W
,,HYD_ConcreteBeam:280D x 2000W
,,HYD_ConcreteBeam:300D x 1000W
,,HYD_ConcreteBeam:300D x 1150W
,,HYD_ConcreteBeam:300D x 1800W R.C.
,,HYD_ConcreteBeam:300D x 960W
,,HYD_ConcreteBeam:330D x 2000W
,,HYD_ConcreteBeam:350D x 2400W
,,HYD_ConcreteBeam:425D x 2000W
,,HYD_ConcreteBeam:650D x 400W
,,HYD_ConcRectangColumn:300x800
,,HYD_ConcRectangColumn:400x800
,,HYD_ConcRectangColumn:600x800
,,HYD_ConcreteBeam:400W x DEPTH VARIES
,2_200
,,Circular Mullion:2PFC MULLION
,,System Panel:180 Shotcrete -35 offset
,,_NotFound
,,System Panel:300 Shotcrete
,,System Panel:300 Shotcrete 150 offset
,,System Panel:180 Shotcrete
,,HYD_2_250PFC Pile:2/PFC 1
,,HYD_2_250PFC Pile:2/PFC 2
,,HYD_CHS-C350:914 Dia Stormwater pipe
,3_316
,,Floor:RC 160_HYD
,,Floor:RC 180_HYD
,,Floor:RC 200_HYD
,,Floor:RC 250_HYD
,,Floor:RC 300_HYD
,,Floor:RC 350_HYD
,,Floor:RC 150_HYD
,,Floor:RC 220_HYD
,,Floor:RC 330_HYD
,,Floor:Bondek Substation 180_HYD
,,Floor:RC 200 HOB_HYD
,,Floor:RC 325_HYD
,,SUBSTATION STAIR:SUBSTATION STAIR
,,SUBSTATION STAIR F2:SUBSTATION STAIR F2
,2_202
,,Foundation Slab:600 Foundation Slab
,,HYD_PadFooting:PF9 - 800 x 800 x 600D
,,HYD_PadFooting:PF7 - 1300 x 1300 x 600D
,4_414
,,Basic Wall:Block 190_HYD
,,Basic Wall:Brick 350_HYD
,,Basic Wall:Block 140_HYD
,,Basic Wall:Block 90_HYD
,,Basic Wall:Brick 230_HYD
,3_308
,,HYD_UB-300PLUS:360UB56.7
01_007
,4_401
,,Basic Wall:RC 200_HYD
,,Basic Wall:RC 300 SLAB FOLD_HYD
,,Basic Wall:RC 250_HYD
,,Basic Wall:RC 300_HYD
,,Basic Wall:RC 350_HYD
,,Basic Wall:RC 400_HYD
,,Basic Wall:RC Upstand 250_HYD
,,Basic Wall:RC 150 HOB_HYD
,,Basic Wall:RC 300 SW CRADLE_HYD
,,Basic Wall:RC 150 UPSTAND WALLS
,,Basic Wall:RC 580 SLAB FOLD_HYD
,,Basic Wall:RC 200 UPSTAND WALLS
,,Basic Wall:RC 250 DOWNTURN BEAM
,3_300
,,HYD_ConcRectangColumn:300x600
,,HYD_ConcreteBeam:250D x 2000W
,,HYD_ConcreteBeam:300D x 1200W
,,HYD_ConcreteBeam:300D x 2000W
,,HYD_ConcreteBeam:300D x 900W
,,HYD_ConcreteBeam:350D x 2000W
,,HYD_ConcreteBeam:400D x 1000W
,,HYD_ConcSquareColumn:500x500
,,HYD_ConcreteBeam:200D x 600W
,,HYD_ConcreteBeam:500D x 600W
,,ConcreteBeamsetdown:350D x 2400W
,,HYD_ConcreteBeam:250D x 1000W
,,HYD_ConcreteBeam:300D x 1800W
,,HYD_ConcreteBeam:300D x 2400W
,,HYD_ConcreteBeam:300D x 800W R.C.
,,HYD_ConcreteBeam:650D x 400W
,,HYD_ConcRectangColumn:1100x1600
,,HYD_ConcRectangColumn:300x800
,,HYD_ConcRectangColumn:400x800
,,HYD_ConcRectangColumn:450x700
,,HYD_ConcRoundColumn:1500 DIA
,,HYD_ConcRoundColumn:700 DIA
,,HYD_ConcSquareColumn:450x450
,3_316
,,Floor:RC 125_HYD
,,Floor:RC 180_HYD
,,Floor:RC 200_HYD
,,Floor:RC 250_HYD
,,Floor:RC 300_HYD
,,Floor:RC 500 MIN.
,,Floor:RC 700_HYD
,,Floor:RC 160_HYD
,,Floor:RC 350_HYD
,,Floor:RC 500_HYD
,,Floor:RC 150_HYD
,2_202
,,Foundation Slab:1200 Foundation Slab
,,Foundation Slab:500 Foundation Slab
,,HYD_PadFooting:PF7 - 1300 x 1300 x 600D
,,HYD_PadFooting:PF2 - 3600 x 3600 x 1800
,,HYD_PadFooting:PF6 - 2700 x 2700 x 1000D
,,Foundation Slab:300 Foundation Slab
,,Foundation Slab:600 Foundation Slab
,,HYD_PadFooting:PF9 - 800 x 800 x 600D
,4_414
,,Basic Wall:Block 140_HYD
,,Basic Wall:Block 190_HYD
,,Basic Wall:Brick 230_HYD
,2_200
,,_NotFound
,,Circular Mullion:2PFC MULLION
,,System Panel:180 Shotcrete -35 offset
,,Circular Mullion:2 300PFC MULLION
,,System Panel:300 Shotcrete
,,Circular Mullion:500 DIA PILE
,,System Panel:180 Shotcrete
01_010
,4_401
,,Basic Wall:RC 250_HYD
,,Basic Wall:RC 300_HYD
,,Basic Wall:RC 350_HYD
,,Basic Wall:RC 400_HYD
,,Basic Wall:RC 450_HYD
,,Basic Wall:RC 300 SLAB FOLD_HYD
,,Basic Wall:RC 250 UPSTAND WALLS
,,Basic Wall:RC 200 UPSTAND WALLS
,,Basic Wall:RC 200_HYD
,,Basic Wall:RC Upstand 250_HYD
,3_300
,,HYD_ConcRoundColumn:1500 DIA
,,HYD_ConcreteBeam:450D x 900W CAPPING BEAM
,,FABRICATED T:FABRICATED T SECTION
,,HYD_RHS-Column-C350:400x200x10.0 RHS
,,HYD_RHS-Column-C350:400x200x16.0 RHS
,,HYD_ConcreteBeam:300D x 900W
,,HYD_ConcreteBeam:350D x 1000W
,,HYD_ConcreteBeam:350D x 2400W
,,HYD_ConcreteBeam:350D x 740W
,,HYD_ConcreteBeam:400D x 2400W
